ID,artist,song,album,released,genre,home_country,singer_age_at_release,entity,topic,Google_Entities_Tentative,overall_sentiment
11,Bruno Mars,It Will Rain,The Twighlight Saga: Breaking Dawn,2011,Pop,United States,26,"['Morphine', 'Makin (islands)', 'Sunlight', 'Walkin', 'Sayin']","['Television episodes', 'American television episodes', 'Television series', 'Fiction', 'Entertainment', 'Creative works', 'Speculative fiction', 'Morphine', 'Novels', 'Literature']","baby,lot,morphine,religion,door,medication,same,Ooh,baby,door,mind,sunlight,skies,side,floor,matter,sacrifices,knees,Ooh,clouds,eyes,same,pieces,minds,shoes,guy,girl,thing,mother,daddy,something,darlin,baby,pieces,skies,sunlight,same,Cause,clouds,eyes,Walkin,baby,skies,sunlight,eyes,clouds",-0.2
12,Bruno Mars,Liquor Store Blues,Doo-Wops & Hooligans,2010,"Reggae, Pop",United States,25,"['Superman', 'Distilled beverage', 'Lottery', 'Blues', 'Beer', 'Liquor store', 'Whisky', 'Guitar', 'Gong', 'Pineapple', '68', 'Tryna']","['Recorded music', 'Distilled beverage', 'American musicians', 'Entertainment', 'Music', 'Music media', 'Albums', 'Performing arts', 'Popular music', 'Superman']","pain,sorrow,world,greetings,job,place,place,shot,liquor store,beer,top,pores,way,Lotto tickets,Tryna,shot,Whiskey,block,nowhere,liquor store blues,shot,sorrow,drag,drag,drag,thing,block,nowhere,liquor store blues,city lights,guitar,rent,cops,pineapple kush,thing,Tryna,shot,jaws,greetings,world,shot,Superman,Cause,Junior Gong",0.1
13,Bruno Mars,When I Was Your Man,Unorthodox Jukebox,2012,Pop,United States,27,"['When I Was Your Man', 'Pride']","['When I Was Your Man', 'Entertainment', 'Pride', 'Recorded music', 'Fiction', 'Creative works', 'Music', 'Works', 'Novels', 'Drama']","first,bed,man,pride,ooh ooh hoo hoo Mm,hand,friends,cause,cause,baby,same,chance,bit,heart,radio,song,flowers,name,hand,dancing,man,chance,party,ooh,flowers,ways,mess,life,woman,needs,ego,eyes,flowers,dancing,man,party,baby,mistakes,things,things,chance,party",-0.1
14,Bruno Mars,Gorilla,Unorthodox Jukebox,2012,Pop,United States,27,"['Cocaine', 'Gorilla', 'Devil', 'SWAT', 'Door', 'Distilled beverage', 'Bang', '30']","['Gorilla', 'Television episodes', 'American television episodes', 'Entertainment', 'Cocaine', 'Television series', 'Creative works', 'Fiction', 'Recorded music', 'Novels']","love,liquor,cocaine Kicker,sky,devil,eyes,legs,bottle,baby,neighbors,daddy,love,baby,baby,gorilla,gorillas,gorillas,jungle,lover,killer,Bang bang,chest,hair,cops,sheriff,swat,door,body,fistful,baby,baby,gorillas,killer,Bang bang,baby,gorillas,baby,gorillas,gorillas,baby,chest,jungle,gorilla Ooh,gorillas,baby",0.6
15,Bruno Mars,Show Me,Unorthodox Jukebox,2012,Pop,United States,27,"['Land of Toys', 'Darling', 'Girl']","['Television episodes', 'American television episodes', 'Recorded music', 'Entertainment', 'Land of Toys', 'Music media', 'Music', 'Pop music', 'Fiction', 'Television series']","Right,eyes,body,need,woman,lips,way,eyes,way,mind,way,Baby,need,boom boom boom,pleasure island,waste,boom boom boom,bus,Girl,girl,room room room,zoom zoom Baby,zoom zoom Baby,Darling,room room room",0
16,Bruno Mars,Young Girls,Unorthodox Jukebox,2012,Pop,United States,27,['2017-11-26T00:00:00.000-05:00'],"['Entertainment', 'Albums', 'Recorded music', 'Television series', 'Literature', 'Fiction', 'Music', 'Rock music', 'Music media', 'Television episodes']","girls,death,death,girls,Guess,birds,sun,roads,car,money,name,hunnies,girls,Boy meets girl,girls,girls,girls,death,matter,matter,mess,everything,roads,wife,love,lies,words,lights,mess,Start,matter,matter,mess,wild,matter,matter",-0.2
17,Coldplay,Fix You,X&Y,2005,"Alternative rock, Post-Britpop",England,28,['Fix You'],"['Fix You', 'Television series', 'American television episodes', 'Entertainment', 'Television episodes', 'Fiction', 'Literature', 'Novels', 'Creative works', 'Television franchises']","best,face,tears,something,reverse,someone,waste,Tears,Lights,bones,Lights,love,Tears,mistakes,bones,Tears,something,Tears,bones,I Lights",-0.4
18,Coldplay,I Ran Away,Coldplay,2002,Rock,England,25,['2017-11-26T00:00:00.000-05:00'],"['Astronomy', 'Mythology', 'Literature', 'Culture', 'Entertainment', 'Physical sciences', 'Outer space', 'Traditional stories', 'Fiction', 'Shacharit for Shabbat and Yom Tov']","fool mess,thing,sky A star,Everyone,Everyone,love,call,sun,stomach,Everyone,eyes,Everyone,thing,star,love,call,cage,cage,line",-0.8
19,Coldplay,Miracles,Kaleidoscope,2017,Alternative/Indie,England,40,"['Song structure', 'Refrain', 'Lightning', 'Conclusion (music)', '1', '2']","['Song structure', 'Songs', 'Musical compositions', 'Music', 'Musical form', 'Vocal music', 'Performing arts', 'Song forms', 'Musical forms', 'Elements of music']","eyes,Oh,words,angels,blossom,beauty,eyes,eyes,Eyes,storm,lightning,blossom,puddles,dirt,stars,world,miracles,world,eyes,storm,lightning,Believe",0.3
20,Coldplay,Moses,Live 2003,2003,Rock,England,26,"['Rain', 'Moses']","['Television episodes', 'American television episodes', 'Albums', 'Recorded music', 'Television series', 'Rain', 'Music media', 'Sound recording', 'Entertainment', 'Music industry']","refuge,thing,baby,power,baby,sea,sky,power,Moses,air,air,somewhere,opportunity,difference,matter,II,sky,Oh",0
21,Coldplay,Swallowed In The Sea,X&Y,2005,Rock,England,28,"['You Belong with Me', '100']","['You Belong with Me', 'Recorded music', 'Music', 'Entertainment', 'Music media', 'Albums', 'Pop music', 'Songs', 'Television episodes', 'American television episodes']","one,sea,tree,shelf,eyes,song,sea,book,sea,darling,size,line,world,good,nothing,streets,Forget,streets,houses,song,houses",-0.4
22,Coldplay,Viva La Vida,Viva la Vida or Death and All His Friends,2008,Rock,England,31,"['Saint Peter', 'Choir', 'Shield', 'Jerusalem', 'Salt', 'Sword', 'Mirror', 'Missionary', 'The Sound of Drums', 'Door', 'Bells Are Ringing (musical)', 'Refrain']","['Choir', 'Shield', 'Vocal music', 'Entertainment', 'Performing arts', 'Jerusalem', 'Saint Peter', 'Sword', 'Mirror', 'Missionary']","king,world,word,streets,word,mirror,missionaries,bells,Seas,eyes,enemy,crowd,dice,fear,Oh,world,pillars,choirs,pillars,sword,field,reason,Jerusalem,windows,wind,sand,key,castles,salt,walls,doors,sound,drums,reason,field,sword,choirs,Chorus,world,Roman Cavalry,People,name,king,Roman,Calvary,string,puppet,silver plate,head,Revolutionaries,Saint Peter,Oh",-0.2
23,Coldplay,White Shadows,X&Y,2005,Rock,England,28,"['Outer space', 'Tide', 'Whoa', '2017-11-26T00:00:00.000-05:00']","['Outer space', 'Albums', 'Recorded music', 'Television episodes', 'Entertainment', 'American television episodes', 'Rock albums', 'Tide', 'Sound recording', 'Music media']","boy,Part,Everything,system,shadows,human race,em,something,part,Part,space,sound,system plan,noise,state,state,Things,shadows sparkle,state,All,Part,outer space,space,Everything,system plan,noise,state,stars,state,state Swimming,sea,faces,tide,answer,sun,horizon,love",0.1
24,Coldplay,Yellow,Parachutes,2000,Britpop,England,23,,"['Medicine', 'Health sciences', 'Medical specialties', 'Entertainment', 'Cultural anthropology', 'Literature', 'Mouth', 'Clinical medicine', 'Dentistry', 'Dentistry procedures']","thing,everything,stars,song,Look,things,turn,thing,skin,skin,thing,skin,skin,something,bones,line,line,things,stars,bones,something",0.7
25,Coldplay,Gravity,X&Y,2005,Rock,England,28,"['Sky', 'Gravity', '2017-11-26T00:00:00.000-05:00']","['Gravity', 'American television episodes', 'Sky', 'Television episodes', 'Entertainment', 'Television series', 'Fiction', 'Creative works', 'Novels', 'Literature']","heart beating,Honey,gravity,everyone,sound,sun,way,gravity,sun,way,Oh,everyone,sky,sun,way,gravity,sun,way,gravity,sky,sound",-0.1
26,Coldplay,Hymn For The Weekend,A Head Full of Dreams,2015,Pop,England,38,"['Sky', 'Rain', 'Flood']","['Physical geography', 'Sky', 'Natural disasters', 'Natural hazards', 'Weather events', 'Flood', 'Water', 'Earth sciences', 'Meteorology', 'Disasters']","drink,drink,angel,world,drug,Life,Oh,symphony,river,wings,I,drink,flood,wings,symphony,wings,wings,stars,symphony,angel,Life,love,blood,I,I,lalalala,sky,sky,sky,sky",0.2
27,Coldplay,Ink,Ghost Stories,2014,Alternative/Indie,England,37,"['Tattoo', 'Pocketknife', 'Knife']","['Tattoo', 'Tattooing', 'Body art', 'Television series', 'Body modification', 'American television episodes', 'Television episodes', 'Human appearance', 'Entertainment', 'Human body']","all,tattoo,all,life,name,pocket knife,All,Feels,All,something,All,way,pains,tattoo,stars,colors,thirst,Oh,All,road,fire",-0.3
28,Doors,Love Street,The Doors (Movie),1968,Classic rock,United States,24,"['Diamond', 'Love Street (stadium)', '1', '2018-06-24T00:00:00.000-04:00', 'I wonder']","['Literature', 'Fiction', 'Fiction books', 'Books', 'Primates and humans', 'Monkeys', 'Culture', 'Entertainment', 'Novels', 'Primate taxonomy']","creatures,house,garden,Love Street She,store,Love Street,wisdom,flunkies,monkeys,robes,La,la,la,la,wisdom,la,la,La,Love Street There,la,garden,house",0.9
29,Doors,Orange County Suite,L.A. Woman,1971,Classic rock,United States,27,"['Door', 'Chicago', 'Mountain', 'Guitar', '1']","['Entertainment', 'Novels', 'Fiction', 'Music', 'Recorded music', 'Performing arts', 'Door', 'Rock music', 'Chicago', 'Literature']","someone,trip,ribbons,hair,rain,FM set,people,window,sister,world,lovers,friend,window,baby,fire,Well,road,door,phone,heart ache,valley,lake,grass,guitars,musicians,Yeah,Yeah,everything,farm,mountains,car,diamonds,mother,father,home,Chicago",-0.3
30,Doors,Crawling King Snake,L.A. Woman,1971,Classic rock,United States,27,"['Crawling King Snake', 'Snake', '2017-11-27T00:00:00.000-05:00', 'Crawlin', 'Ooo', 'Seein']","['John Lee Hooker songs', 'Eric Burdon songs', 'Blues songs', 'Blues', 'American blues rock songs', 'Acid rock songs', 'American songs', 'American psychedelic rock songs', 'American rock songs', 'Songwriter unknown']","Crawlin' King Snake,Gonna,den,den,Seein,baby,round,Ooo,den,baby,crawl,C'mon,Grass,den,everything,floor,C'mon crawl C'mon crawl,den,Ai,round,mate,baby,Crawl,spider,knees,hands",-0.1
31,Doors,End Of The Night,The Doors,1967,Rock,United States,23,,"['Mythology', 'Religious belief and doctrine', 'Fictional locations', 'Metaphysics of religion', 'Afterlife', 'Mythological cosmologies', 'Poetry', 'Culture']","end,highway,End,journey,Some,Some,Some,delight,realms,delight,Realms,End,light,bliss,Some,delight,Some,Some,Realms,realms,delight,bliss,light",0.9
32,Doors,Light My Fire,The Doors,1967,Rock,United States,23,"['Funeral', 'Pyre', 'Light My Fire', 'Girl']","['Death customs', 'Commemoration', 'Funerals', 'Death care industry', 'Rituals', 'Social conventions', 'Cultural aspects of death', 'Traditions', 'Undertaking', 'Grief']","liar,liar,fire,fire,fire,love,baby,baby,Girl,fire,fire,fire,fire,baby,baby,baby,baby,mire Try,fire,fire,mire Try,funeral pyre,funeral pyre,love,baby,baby,fire,fire,fire,fire,fire,fire",-0.6
33,Doors,Love Her Madly,The Doors,1967,Rock,United States,23,['Love Her Madly'],"['Love Her Madly', 'Fiction', 'Recorded music', 'Entertainment', 'Novels', 'Songs', 'Literature', 'Song recordings', 'Rock music', 'Drama']","ways,Yeah,daddy,face,love,love,love,love,love,door,door,love,love,song,horses,dream,ways,song,horses,dream,mark,love,love,door",-0.3
34,Elton John,Crystal,Too Low for Zero,1983,Pop,England,36,"['Knot', 'Pearl', 'Oyster', 'Crystal']","['Knot', 'Pearl', 'Oyster', 'Fiction', 'Television series', 'Entertainment', 'Television episodes', 'Bivalves and humans', 'American television episodes', 'Bivalves']","one,web,captives,pearl,friendship,knots,Crystal,jewel,fight,friend,Crystal,Crystal,Crystal,oyster,world,distance,care,run,end,truth,heart,peace,cells,bars,Crystal,girl",0.3
35,Elton John,Goodbye,Madman Across the Water,1971,Pop,England,24,"['Poetry', 'Mirror', 'Moon', 'Rhyme', 'Drink', 'Spoon', 'Snow', 'Wine', 'Silver spoon', '2017-11-26T00:00:00.000-05:00']","['Poetry', 'Literature', 'Mirror', 'Poems', 'English poetry', 'British poetry', 'Moon', 'Rhyme', 'Drink', 'Spoon']","mirror,silver spoon,sun,birds,snow,poem,songs,drink,hand,wine,land,lambs,moon,page",-0.8
36,Elton John,Hoop Of Fire,Leather Jackets,1986,Pop,England,39,"['String (music)', 'Guitar', 'Nylon']","['String (music)', 'Music', 'Guitar', 'Musical instruments', 'String instruments', 'Chordophones', 'Entertainment', 'Nylon', 'Music technology', 'Novels']","pulse,hoop,fire,lips,things,dreams,walks,beaches,guitars,nylon strings,reads,reads,reads,reads,fire,hoop,heat,wealth,mistrust,fire,hoop,fire,hoop,hoop,fire,pulse,love,fire,hoop,nights,strangers,pressure,places,hoop,fire,hoop,fire,hoop,fire,hoop,fire,hoop,fire",0
37,Elton John,Go It Alone,Leather Jackets,1986,Pop,England,39,"['Spades', 'The Skin of Our Teeth', 'Brick']","['Card games', 'Games', 'Playing cards', 'Games of chance', 'Gaming devices', 'Ephemera', 'Games of mental skill', 'Tabletop games', 'Toys', 'Consumer goods']","nothing,hill,house,house,home,bones,brick,girl,home,home,piece,piece,bit,Bit,brick,brick,cards,brick,brick,skin,teeth,girl,lot,someone,house,Build,someone,home,friends,passion,Build,spades,spades,cards,brick,hearts,cars,table,schemes,house,lot,grave,home,Build,home,girl,home,girl,house,lot,someone,someone,lot",-0.1
38,Elton John,Indian Sunset,Madman Across the Water,1971,Pop,England,24,"['Geronimo', 'Iroquois', 'Sioux', 'Running the gauntlet', 'Tipi', 'The Sound of Drums', 'Tribal chief', 'Moon', 'Squaw', 'Breastfeeding', 'Prairie', 'Dog', 'Warlord', 'Santa Monica Airport', 'Tomahawk', 'Buffalo, New York', 'Warrior']","['Indigenous peoples of North America', 'Geronimo', 'Iroquois', 'Moon', 'Literature', 'Fiction', 'Culture', 'Indigenous peoples of the Great Plains', 'Native American people', 'Sioux']","moon,chieftain,sons,Oh,moon,wood smoke,warlance,warlord,sun,hills,woman,tepee,smell,cobweb,ones,land,father,soldiers,guns,buzzards,reason,writing,pony,man,chieftain,sound,smoke,fathers,gold,pony wild,drums,tomahawk,breast,child,squaw,man fears,words,race,daughter,kind,pride,healing waters,prairie,tribe,Geronimo,Iroquois,Lord,hoof tracks,Sioux,Yellow Dog,home,gauntlet,horse soldiers,running,bow,peace,sand,hands,weapons,loved ones,sound,guns,gold,buffaloes,clover fields,warrior,bullet hole,lead,renegades",0
39,Elvis Presley,Chesay,Frankie and Johnny (Movie),1966,Pop,United States,31,"['Luck', 'Devil', 'Chesay']","['Luck', 'Fiction', 'Literature', 'Novels', 'Devil', 'Entertainment', 'Speculative fiction', 'Arts', 'Creative works', 'Traditional stories']","Chesay Chesay,luck,devil,Magic,drink,Chesay,shame,luck,gypsy way,things,Chesay,nothing,star,cup,gypsy love,Chesay Swallow,luck,luck,luck,drink,devil,Magic",0
40,Elvis Presley,Do The Clam,Girl Happy (Movie),1965,Pop,United States,30,"['Clam', 'Happy Feet', 'Moon', 'Bongo drum', 'Hug']","['Recorded music', 'Music', 'Music media', 'Albums', 'Songs', 'Popular music', 'Pop music', 'Sound recording', 'Clam', 'Musical compositions']","baby,Turn,Dig,everybody,bongo sound,one,reach,clam,clam,clam,hand,tease,clam,clam,clam,beach,baby,hand,tease,heart,Everybody,outside,appetite,clam,clam,beat,clam,clam,Moon,clam,hand,tease,clam Dig,hand,tease,clam,clam",0.6
41,Elvis Presley,Earth Boy,Girls! Girls! Girls! (Movie),1962,Rock,United States,27,"['Earth', 'Angel', '2017-11-26T00:00:00.000-05:00']","['Earth', 'Literature', 'Entertainment', 'Fiction', 'Culture', 'Drama', 'Creative works', 'Religious belief and doctrine', 'Religion', 'Mythology']","Angel,street Earth,angel,earth boy,boy dream,All,earth boy,land,heart,earth boy,dream,dreams,earth boy,land,boy,boy,angel,sun,love,land,doves,story,part,All,walk,love,Oo-oo-oo,earth boy,earth boy,angel,dream,boy dream,dream,boy dream,dreams,part,land,story,doves",0.7
42,Elvis Presley,Hard Luck,Frankie and Johnny (Movie),1966,Pop,United States,31,"['Curse', 'Drivin']","['Television series', 'Recorded music', 'Entertainment', 'Albums', 'Music media', 'Fiction', 'Sound recording', 'Music industry', 'Creative works', 'Music']","Drivin,toodle-loo,number,blues,place,good-bye,No,advice,luck,luck,remembering,Black cats,woe,tree,money,kind,luck,luck,mind,luck,way,blues,luck,knee,thing,lady luck,luck,losers,everything,decks,Yes,hex",-0.9
43,Elvis Presley,Double Trouble,Double Trouble,1966,"Rock, Pop",United States,31,,"['Games', 'Card games', 'Games of chance', 'Playing cards', 'Gaming devices', 'Ephemera', 'Games of mental skill', 'Entertainment', 'Tabletop games', 'Toys']","sight,guys,love,girl,heart,heart,ground,town,double trouble,trouble,anybody,trouble,matchbox,sea,cards,clouds,grade",0
44,Elvis Presley,Girl Of Mine,Raised on Rock,1973,Pop,United States,38,"['Pillow', 'Smile']","['Fiction', 'Smile', 'Literature', 'Pillow', 'Novels', 'Entertainment', 'Creative works', 'Works', 'Culture', 'Drama']","feeling,pillow,moonlight,hair,hand,girl,mine,love,girl,sleeping lips,smile,girl,Eyes,life,road,clouds,sea,arms,love,love,girl,things,girl,Eyes,clouds,sea,light,mine,arms,road,life,love,girl,light,mine,smile",0.8
45,Grateful Dead,Midnight Hour,Vintage Dead,1970,"Jamband, Psychedelic rock",United States,28,['In the Midnight Hour'],"['Recorded music', 'Entertainment', 'Albums', 'Music media', 'Sound recording', 'Pop music', 'English-language music', 'Novels', 'In the Midnight Hour', 'Television series']","love,girl,things,twinkle,arms,love,girl,eyes",0.8
46,Grateful Dead,Casey Jones,Workingman's Dead,1970,Classic rock,United States,28,"['Casey Jones', 'Cocaine', 'Switchman', 'Central Station', 'Lady']","['Casey Jones', 'Rail transport', 'American railroaders', 'People from Fulton County, Kentucky', 'People from Jackson, Tennessee', 'Railroad engineers', 'Railway safety', 'Fulton County, Kentucky', 'Transport', 'Railway accidents']","speed,mind,train,cocaine,Trouble,trouble,Trouble,Casey Jones,bout,Trouble,notion,end,engine,trouble,train,cocaine,notion,advice,sleeping,Leaves Central Station,notion,Hits River Junction,Lady,Switchman,engine,trouble,eyes,bend,fireman screams,two,cocaine,train,track",0
47,Grateful Dead,Cosmic Charlie,Aoxomoxoa,1969,Psychedelic rock,United States,27,"['Canoe', 'Paddle', 'Calliope', '2018-02-01T00:00:00.000-05:00', 'Charlie', 'Truckin', 'Dum de', 'lee', 'Calico Cal', 'Rosey', 'Everything']","['Television episodes', 'American television episodes', 'Television series', 'Entertainment', 'Fiction', 'Canoe', 'Creative works', 'Literature', 'Novels', 'Drama']","mama,home,airplane,Calamity,style,avenue,Truckin,Cosmic Charlie,Rosey,Dum de dum de do da lee,Calico Cal,ones,blue,paper canoe,way,paddle,last,first,mama,waiting,first,wind,Cat,Everything,bit,old ones,home,Mama,seaside zoo,mama,mama,home,home,home,Calliope,word,last,people",0
48,Grateful Dead,Dark Star,Live/Dead,1969,Psychedelic rock,United States,27,"['Mirror', 'Flower', 'Searchlight', 'Petal', 'Axis powers', 'Delusion']","['Glass applications', 'Optics', 'Equipment', 'Electromagnetic radiation', 'Natural philosophy', 'Glass engineering and science', 'Glass', 'Applied and interdisciplinary physics', 'Optical materials', 'Materials']","nightfall,Dark star crashes,ashes,light,Reason tatters,axis,forces,casting,diamonds,faults,clouds,delusion,reflections,matter,hand,Searchlight,nights,goodbye,Mirror,diamonds,petal flowers,velvet,Lady",-0.1
49,Jimi Hendrix,Gypsy Eyes,Electric Ladyland,1968,Rock,United States,25,['1000000'],"['Television episodes', 'American television episodes', 'Entertainment', 'Fiction', 'Television series', 'Literature', 'Creative works', 'Novels', 'Drama', 'Recorded music']","eyes,Wonderin,eyes,tree,girl,Gypsy Way,country side,world,gypsy eyes,one,eyes,road,rubble road side,girl,some,love,tears,tryin,death,getaway,men,Gypsy Well,road,side,eyes,battle,worry knees,time,call,Lord,highway",0.4
50,Jimi Hendrix,Crosstown Traffic,Electric Ladyland,1968,Rock,United States,25,"['Traffic congestion', 'Tire', 'Crosstown', '90']","['Recorded music', 'Albums', 'Music media', 'Sound recording', 'Music industry', 'Popular music', 'Monster Energy NASCAR Cup Series seasons', 'Music', 'Entertainment', 'Monster Energy NASCAR Cup Series']","traffic,speed,car,girl,front,side,soul,pain,ride,town,hit and run,back,traffic jam,fun,signals,green,town,baby,Tire,street,darling,things,Crosstown",0
51,Jimi Hendrix,Message Of Love,Band of Gypsys,1970,Classic rock,United States,27,"['God', 'Mmm mmm', 'Whoo', 'Dooooo', 'Doodoo']","['Literature', 'Entertainment', 'Fiction', 'Albums', 'Recorded music', 'Culture', 'Creative works', 'Television episodes', 'American television episodes', 'Drama']","baby,love,man,love,speed,lot,find,lover,man,Mmm,Whoo,fool baby,woman,Come,chain,pain,life,man,Everybody,Doodoo doodoo,eyes,baby,Everybody,Yeah,Hey Come on baby Come on Come on Fly,Hey Yeah,talent Work,mind",0.6
52,Jimi Hendrix,Red House,Are You Experienced,1967,Classic rock,United States,24,['Lord'],"['Fiction', 'Entertainment', 'Literature', 'Culture', 'Creative works', 'Drama', 'Religious belief and doctrine', 'Novels', 'Religion', 'Theology']","something,baby,Lord,house,yonder,baby,baby,house,Something,something,something,baby,home,baby,lord,Lord,Lord,key,door,mercy,door,feeling,yonder,Way,hill,Cause,sister,yonder,hill,Yeah",-0.3
